Date,Open,High,Low,Close,Adj Close,Volume
2000-01-13,3500.000000,3580.000000,3410.000000,3580.000000,2570.480713,38300
2000-01-14,null,null,null,null,null,null
2000-01-17,null,null,null,null,null,null
2000-01-18,null,null,null,null,null,null
2000-01-19,null,null,null,null,null,null
2000-01-20,3500.000000,3695.000000,3500.000000,3590.000000,2577.661133,166100
2000-01-21,3560.000000,3740.000000,3410.000000,3700.000000,2656.642334,58300
2000-01-24,null,null,null,null,null,null
2000-01-25,null,null,null,null,null,null
2000-01-26,null,null,null,null,null,null
2000-01-27,3950.000000,4465.000000,3950.000000,4450.000000,3195.150879,224300
2000-01-28,null,null,null,null,null,null
2000-01-31,null,null,null,null,null,null
2000-02-01,null,null,null,null,null,null
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,4060.000000,4130.000000,4050.000000,4100.000000,2943.846680,32500
2000-02-09,null,null,null,null,null,null
2000-02-10,null,null,null,null,null,null
2000-02-11,null,null,null,null,null,null
2000-02-14,null,null,null,null,null,null
2000-02-15,null,null,null,null,null,null
2000-02-16,3650.000000,4040.000000,3650.000000,4000.000000,2872.045410,15700
2000-02-17,null,null,null,null,null,null
2000-02-18,null,null,null,null,null,null
2000-02-21,null,null,null,null,null,null
2000-02-22,4100.000000,4100.000000,3900.000000,4100.000000,2943.846680,37600
2000-02-23,null,null,null,null,null,null
2000-02-24,null,null,null,null,null,null
2000-02-25,null,null,null,null,null,null
2000-02-28,null,null,null,null,null,null
2000-02-29,null,null,null,null,null,null
2000-03-01,null,null,null,null,null,null
2000-03-02,4150.000000,4180.000000,4000.000000,4100.000000,2943.846680,32000
2000-03-03,null,null,null,null,null,null
2000-03-06,4290.000000,4550.000000,4120.000000,4330.000000,3108.989014,79500
2000-03-07,null,null,null,null,null,null
2000-03-08,null,null,null,null,null,null
2000-03-09,null,null,null,null,null,null
2000-03-10,4190.000000,4190.000000,4000.000000,4000.000000,2872.045410,57000
2000-03-13,null,null,null,null,null,null
2000-03-14,null,null,null,null,null,null
2000-03-15,null,null,null,null,null,null
2000-03-16,null,null,null,null,null,null
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,null,null,null,null,null,null
2000-03-22,null,null,null,null,null,null
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,3900.000000,3900.000000,3600.000000,3600.000000,2584.840820,53400
2000-03-28,null,null,null,null,null,null
2000-03-29,null,null,null,null,null,null
2000-03-30,null,null,null,null,null,null
2000-03-31,null,null,null,null,null,null
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,3440.000000,3440.000000,3440.000000,3440.000000,2469.958740,0
2000-04-06,3495.000000,3640.000000,3390.000000,3420.000000,2455.599121,33000
2000-04-07,null,null,null,null,null,null
2000-04-10,null,null,null,null,null,null
2000-04-11,null,null,null,null,null,null
2000-04-12,null,null,null,null,null,null
2000-04-13,null,null,null,null,null,null
2000-04-14,3370.000000,3450.000000,3310.000000,3445.000000,2473.549316,13900
2000-04-17,null,null,null,null,null,null
2000-04-18,null,null,null,null,null,null
2000-04-19,null,null,null,null,null,null
2000-04-20,null,null,null,null,null,null
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,3100.000000,3120.000000,3050.000000,3100.000000,2225.835449,27100
2000-04-26,3080.000000,3180.000000,3050.000000,3090.000000,2218.655273,41200
2000-04-27,null,null,null,null,null,null
2000-04-28,null,null,null,null,null,null
2000-05-01,null,null,null,null,null,null
2000-05-02,null,null,null,null,null,null
2000-05-03,null,null,null,null,null,null
2000-05-04,null,null,null,null,null,null
2000-05-05,null,null,null,null,null,null
2000-05-08,null,null,null,null,null,null
2000-05-09,null,null,null,null,null,null
2000-05-10,null,null,null,null,null,null
2000-05-11,null,null,null,null,null,null
2000-05-12,null,null,null,null,null,null
2000-05-15,null,null,null,null,null,null
2000-05-16,3250.000000,3340.000000,3210.000000,3340.000000,2398.158203,18400
2000-05-17,null,null,null,null,null,null
2000-05-18,3260.000000,3285.000000,3200.000000,3210.000000,2304.816650,21300
2000-05-19,null,null,null,null,null,null
2000-05-22,null,null,null,null,null,null
