Date,Open,High,Low,Close,Adj Close,Volume
2010-02-19,6740.000000,7750.000000,6740.000000,7750.000000,7511.375000,6224
2010-02-22,8910.000000,8910.000000,8910.000000,8910.000000,8635.659180,2094
2010-02-23,10200.000000,10200.000000,10200.000000,10200.000000,9885.939453,110
2010-02-24,11700.000000,11700.000000,11700.000000,11700.000000,11339.753906,19470
2010-02-25,13450.000000,13450.000000,13450.000000,13450.000000,13035.871094,450
2010-02-26,15450.000000,15450.000000,15450.000000,15450.000000,14974.291016,299
2010-03-02,17750.000000,17750.000000,17750.000000,17750.000000,17203.472656,284
2010-03-03,20400.000000,20400.000000,20050.000000,20400.000000,19771.878906,42732
2010-03-04,23450.000000,23450.000000,23450.000000,23450.000000,22727.968750,2333
2010-03-05,26950.000000,26950.000000,26950.000000,26950.000000,26120.203125,1870
2010-03-08,30950.000000,30950.000000,30950.000000,30950.000000,29997.041016,1451
2010-03-09,35550.000000,35550.000000,35550.000000,35550.000000,34455.406250,1371
2010-03-10,40850.000000,40850.000000,36500.000000,40850.000000,39592.218750,73796
2010-03-11,45800.000000,46950.000000,43000.000000,46950.000000,45504.398438,12321
2010-03-12,53900.000000,53900.000000,53900.000000,53900.000000,52240.406250,7258
2010-03-15,61900.000000,61900.000000,61900.000000,61900.000000,59994.082031,2724
2010-03-16,71100.000000,71100.000000,67000.000000,71100.000000,68910.812500,21871
2010-03-17,null,null,null,null,null,null
2010-03-18,73500.000000,77000.000000,60500.000000,60500.000000,58637.187500,18853
2010-03-19,51500.000000,51500.000000,51500.000000,51500.000000,49914.300781,1242
2010-03-22,52000.000000,59200.000000,52000.000000,59200.000000,57377.214844,32605
2010-03-23,68000.000000,68000.000000,65100.000000,68000.000000,65906.265625,15232
2010-03-24,73000.000000,78200.000000,61200.000000,78200.000000,75792.203125,112100
2010-03-25,84000.000000,89900.000000,83500.000000,89900.000000,87131.953125,16105
2010-03-26,98000.000000,103000.000000,98000.000000,103000.000000,99828.601563,57677
2010-03-29,null,null,null,null,null,null
2010-03-30,118000.000000,118000.000000,118000.000000,118000.000000,114366.742188,1446
2010-03-31,135500.000000,135500.000000,135500.000000,135500.000000,131327.921875,844
2010-04-01,155500.000000,155500.000000,155500.000000,155500.000000,150712.109375,1720
2010-04-02,178500.000000,178500.000000,132500.000000,178500.000000,173003.937500,127775
2010-04-05,null,null,null,null,null,null
2010-04-06,167500.000000,203000.000000,152000.000000,152000.000000,147319.875000,207787
2010-04-07,129500.000000,129500.000000,129500.000000,129500.000000,125512.664063,3261
2010-04-08,110500.000000,146000.000000,110500.000000,120000.000000,116305.171875,485536
2010-04-09,126000.000000,127000.000000,104500.000000,107500.000000,104190.046875,259415
2010-04-12,110000.000000,112000.000000,95000.000000,95000.000000,92074.921875,218657
2010-04-13,98000.000000,109000.000000,96500.000000,100000.000000,96920.976563,412270
2010-04-14,99000.000000,99000.000000,85000.000000,85000.000000,82382.828125,178351
2010-04-15,73300.000000,76000.000000,72300.000000,72300.000000,70073.867188,58845
2010-04-16,66700.000000,77300.000000,66200.000000,71800.000000,69589.257813,384427
2010-04-19,72200.000000,82500.000000,72200.000000,82300.000000,79765.953125,301457
2010-04-20,85400.000000,85400.000000,70500.000000,71800.000000,69589.257813,202917
2010-04-21,72700.000000,76900.000000,71900.000000,72500.000000,70267.703125,86982
2010-04-22,74000.000000,74800.000000,71100.000000,72200.000000,69976.945313,51448
2010-04-23,72500.000000,73500.000000,61600.000000,62300.000000,60381.765625,106647
2010-04-26,62300.000000,64000.000000,57100.000000,59100.000000,57280.292969,121142
2010-04-27,60000.000000,66500.000000,58300.000000,62600.000000,60672.527344,178100
2010-04-28,60500.000000,62300.000000,59000.000000,59300.000000,57474.136719,54062
2010-04-29,61000.000000,62700.000000,59300.000000,60600.000000,58734.109375,43639
2010-04-30,61800.000000,64500.000000,58300.000000,59300.000000,57474.136719,68051
2010-05-03,59300.000000,60000.000000,53100.000000,55300.000000,53597.300781,50887
2010-05-04,56500.000000,63500.000000,56500.000000,63500.000000,61544.820313,198527
2010-05-06,63500.000000,73000.000000,60200.000000,73000.000000,70752.304688,206966
2010-05-07,78000.000000,83900.000000,75600.000000,83900.000000,81316.695313,119218
2010-05-10,96000.000000,96400.000000,75700.000000,77800.000000,75404.515625,546061
2010-05-11,79100.000000,83800.000000,74100.000000,77500.000000,75113.757813,235600
2010-05-12,78400.000000,80900.000000,70000.000000,70000.000000,67844.679688,128688
2010-05-13,69400.000000,73000.000000,66600.000000,69500.000000,67360.070313,137745
2010-05-14,72000.000000,79200.000000,70900.000000,73000.000000,70752.304688,231926
2010-05-17,73000.000000,78700.000000,70800.000000,72400.000000,70170.789063,96548
2010-05-18,74400.000000,74500.000000,66700.000000,67200.000000,65130.890625,70721
2010-05-19,67000.000000,68000.000000,62000.000000,62300.000000,60381.765625,58664
2010-05-20,60100.000000,68500.000000,59600.000000,61000.000000,59121.792969,87626
2010-05-24,60000.000000,63100.000000,60000.000000,61500.000000,59606.398438,34462
2010-05-25,60100.000000,62100.000000,53800.000000,58000.000000,56214.164063,55213
2010-05-26,58000.000000,62700.000000,57800.000000,60100.000000,58249.503906,43803
2010-05-27,60000.000000,67900.000000,59100.000000,64500.000000,62514.027344,142584
