Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1150.000000,1195.000000,1100.000000,1140.000000,316.101532,97000
2000-01-05,1190.000000,1190.000000,1110.000000,1140.000000,316.101532,112000
2000-01-06,1200.000000,1200.000000,1050.000000,1060.000000,293.918915,203000
2000-01-07,null,null,null,null,null,null
2000-01-10,1110.000000,1110.000000,1065.000000,1070.000000,296.691742,99000
2000-01-11,null,null,null,null,null,null
2000-01-12,null,null,null,null,null,null
2000-01-13,1035.000000,1145.000000,1020.000000,1145.000000,317.487915,710000
2000-01-14,null,null,null,null,null,null
2000-01-17,null,null,null,null,null,null
2000-01-18,null,null,null,null,null,null
2000-01-19,null,null,null,null,null,null
2000-01-20,null,null,null,null,null,null
2000-01-21,null,null,null,null,null,null
2000-01-24,890.000000,920.000000,866.000000,920.000000,255.099442,327000
2000-01-25,null,null,null,null,null,null
2000-01-26,902.000000,934.000000,902.000000,911.000000,252.603897,151000
2000-01-27,934.000000,974.000000,916.000000,970.000000,268.963562,119000
2000-01-28,970.000000,1010.000000,965.000000,971.000000,269.240814,196000
2000-01-31,951.000000,988.000000,951.000000,970.000000,268.963562,147000
2000-02-01,970.000000,1090.000000,970.000000,1055.000000,292.532562,310000
2000-02-02,null,null,null,null,null,null
2000-02-03,1080.000000,1110.000000,1060.000000,1060.000000,293.918915,200000
2000-02-04,1060.000000,1060.000000,1060.000000,1060.000000,293.918915,0
2000-02-07,1100.000000,1100.000000,1030.000000,1030.000000,285.600494,101000
2000-02-08,null,null,null,null,null,null
2000-02-09,976.000000,1010.000000,957.000000,970.000000,268.963562,230000
2000-02-10,960.000000,970.000000,931.000000,935.000000,259.258698,175000
2000-02-11,935.000000,935.000000,851.000000,916.000000,253.990265,156000
2000-02-14,870.000000,902.000000,861.000000,890.000000,246.781006,97000
2000-02-15,852.000000,890.000000,852.000000,880.000000,244.008118,48000
2000-02-16,null,null,null,null,null,null
2000-02-17,null,null,null,null,null,null
2000-02-18,859.000000,862.000000,820.000000,830.000000,230.144073,195000
2000-02-21,741.000000,790.000000,741.000000,770.000000,213.507156,154000
2000-02-22,751.000000,788.000000,731.000000,770.000000,213.507156,149000
2000-02-23,null,null,null,null,null,null
2000-02-24,832.000000,869.000000,803.000000,820.000000,227.371277,73000
2000-02-25,820.000000,840.000000,785.000000,800.000000,221.825607,146000
2000-02-28,762.000000,880.000000,762.000000,860.000000,238.462555,562000
2000-02-29,903.000000,940.000000,870.000000,930.000000,257.872253,495000
2000-03-01,null,null,null,null,null,null
2000-03-02,null,null,null,null,null,null
2000-03-03,null,null,null,null,null,null
2000-03-06,1050.000000,1100.000000,1040.000000,1100.000000,305.010223,443000
2000-03-07,null,null,null,null,null,null
2000-03-08,1015.000000,1110.000000,1015.000000,1110.000000,307.783020,124000
2000-03-09,1100.000000,1150.000000,1055.000000,1085.000000,300.850952,139000
2000-03-10,null,null,null,null,null,null
2000-03-13,null,null,null,null,null,null
2000-03-14,null,null,null,null,null,null
2000-03-15,null,null,null,null,null,null
2000-03-16,1095.000000,1095.000000,1010.000000,1010.000000,280.054810,85000
2000-03-17,null,null,null,null,null,null
2000-03-20,1015.000000,1015.000000,990.000000,1000.000000,277.282013,65000
2000-03-21,null,null,null,null,null,null
2000-03-22,null,null,null,null,null,null
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,null,null,null,null,null,null
2000-03-28,null,null,null,null,null,null
2000-03-29,1190.000000,1380.000000,1180.000000,1380.000000,382.649170,2152000
2000-03-30,1370.000000,1375.000000,1250.000000,1350.000000,374.330750,1173000
2000-03-31,1320.000000,1540.000000,1270.000000,1540.000000,427.014313,996000
2000-04-03,1460.000000,1460.000000,1335.000000,1360.000000,377.103516,246000
2000-04-04,null,null,null,null,null,null
2000-04-05,1230.000000,1230.000000,1230.000000,1230.000000,341.056854,0
2000-04-06,null,null,null,null,null,null
2000-04-07,null,null,null,null,null,null
2000-04-10,1200.000000,1235.000000,1165.000000,1235.000000,342.443237,324000
2000-04-11,1235.000000,1235.000000,1110.000000,1225.000000,339.670471,240000
2000-04-12,null,null,null,null,null,null
2000-04-13,1140.000000,1140.000000,1140.000000,1140.000000,316.101532,0
2000-04-14,1090.000000,1100.000000,1030.000000,1100.000000,305.010223,429000
2000-04-17,1100.000000,1100.000000,935.000000,935.000000,259.258698,173000
2000-04-18,null,null,null,null,null,null
2000-04-19,925.000000,960.000000,895.000000,920.000000,255.099442,1432000
2000-04-20,930.000000,969.000000,903.000000,920.000000,255.099442,396000
2000-04-21,906.000000,940.000000,906.000000,913.000000,253.158478,264000
2000-04-24,null,null,null,null,null,null
2000-04-25,null,null,null,null,null,null
2000-04-26,910.000000,922.000000,813.000000,813.000000,225.430298,233000
2000-04-27,824.000000,867.000000,791.000000,845.000000,234.303314,733000
2000-04-28,859.000000,878.000000,831.000000,835.000000,231.530472,90000
2000-05-01,null,null,null,null,null,null
2000-05-02,898.000000,898.000000,831.000000,850.000000,235.689728,116000
2000-05-03,830.000000,875.000000,830.000000,836.000000,231.807755,88000
2000-05-04,null,null,null,null,null,null
2000-05-05,null,null,null,null,null,null
2000-05-08,839.000000,960.000000,836.000000,870.000000,241.235321,508000
2000-05-09,870.000000,870.000000,870.000000,870.000000,241.235321,0
2000-05-10,null,null,null,null,null,null
2000-05-11,855.000000,855.000000,855.000000,855.000000,237.076111,0
2000-05-12,872.000000,872.000000,812.000000,812.000000,225.152985,127000
2000-05-15,820.000000,820.000000,750.000000,770.000000,213.507156,186000
2000-05-16,null,null,null,null,null,null
2000-05-17,null,null,null,null,null,null
2000-05-18,null,null,null,null,null,null
2000-05-19,null,null,null,null,null,null
2000-05-22,650.000000,650.000000,594.000000,599.000000,166.091919,112000
2000-05-23,null,null,null,null,null,null
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
