Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,28318.500000,28415.500000,28318.500000,28318.500000,17754.513672,621048
2000-01-05,28318.500000,28367.000000,27251.699219,28076.099609,17602.542969,1343868
2000-01-06,27639.699219,28027.599609,27154.800781,27833.599609,17450.503906,815518
2000-01-07,27251.699219,27833.599609,27251.699219,27833.599609,17450.503906,983180
2000-01-10,27833.599609,31906.800781,27639.699219,31906.800781,20004.230469,2247238
2000-01-11,27348.699219,28318.500000,27348.699219,27930.599609,17511.316406,1036386
2000-01-12,27397.199219,31906.800781,27009.300781,31906.800781,20004.230469,3011200
2000-01-13,27494.199219,28512.500000,27251.699219,27251.699219,17085.675781,653838
2000-01-14,26815.300781,27057.800781,23178.500000,23178.500000,14531.950195,721892
2000-01-17,23421.000000,24196.800781,22160.199219,23905.900391,14988.000000,639917
2000-01-18,23954.400391,23954.400391,23081.500000,23275.500000,14592.763672,204472
2000-01-19,22790.599609,22984.599609,21432.900391,21626.800781,13559.103516,224167
2000-01-20,20463.000000,22499.699219,19590.199219,21335.900391,13376.716797,254379
2000-01-21,20366.099609,22208.699219,20366.099609,22014.699219,13802.292969,155082
2000-01-24,22208.699219,23857.400391,22208.699219,23566.400391,14775.148438,250873
2000-01-25,23614.900391,24536.300781,23566.400391,23954.400391,15018.409180,245202
2000-01-26,24245.300781,24439.300781,24099.800781,24148.300781,15139.976563,151369
2000-01-27,24293.800781,24439.300781,23275.500000,24051.400391,15079.223633,317793
2000-01-28,24245.300781,24245.300781,24051.400391,24196.800781,15170.377930,190140
2000-01-31,23566.400391,23808.900391,22790.599609,23614.900391,14805.552734,48669
2000-02-01,23760.400391,24148.300781,23711.900391,24148.300781,15139.976563,86305
2000-02-02,24148.300781,25651.500000,24148.300781,25506.099609,15991.260742,197461
2000-02-03,25603.099609,26088.000000,25506.099609,25942.500000,16264.862305,130953
2000-02-04,25942.500000,25942.500000,25942.500000,25942.500000,16264.862305,0
2000-02-07,26184.900391,27542.699219,26184.900391,26378.900391,16538.468750,173642
2000-02-08,26330.400391,26669.800781,25700.000000,25700.000000,16112.829102,111052
2000-02-09,26184.900391,26621.400391,26184.900391,26427.400391,16568.876953,151679
2000-02-10,26524.400391,26863.800781,26524.400391,26524.400391,16629.689453,254482
2000-02-11,26572.900391,26572.900391,26524.400391,26524.400391,16629.689453,202616
2000-02-14,25700.000000,26281.900391,25118.099609,25554.599609,16021.662109,59084
2000-02-15,25700.000000,26427.400391,25700.000000,26136.500000,16386.494141,243655
2000-02-16,24730.199219,25894.000000,24730.199219,25215.099609,15808.813477,54753
2000-02-17,25457.599609,26136.500000,25312.099609,26088.000000,16356.083008,138171
2000-02-18,26233.400391,26766.800781,26233.400391,26572.900391,16660.093750,232725
2000-02-21,26572.900391,26669.800781,24827.199219,25991.000000,16295.269531,130231
2000-02-22,25263.599609,25797.000000,24827.199219,25700.000000,16112.829102,69704
2000-02-23,28124.599609,28124.599609,25991.000000,27542.699219,17268.119141,218908
2000-02-24,27154.800781,27445.699219,26378.900391,27445.699219,17207.304688,70735
2000-02-25,27639.699219,28803.400391,27639.699219,28270.000000,17724.109375,349965
2000-02-28,28270.000000,28415.500000,26912.300781,27203.199219,17055.267578,260153
2000-02-29,27542.699219,28221.500000,27494.199219,27688.199219,17359.343750,110434
2000-03-01,27688.199219,27688.199219,27688.199219,27688.199219,17359.343750,0
