Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,18000.000000,18000.000000,17300.000000,17700.000000,17399.443359,796
2005-09-30,17500.000000,18700.000000,17150.000000,18050.000000,17743.500000,12725
2005-10-03,null,null,null,null,null,null
2005-10-04,18000.000000,18300.000000,17800.000000,18200.000000,17890.953125,2582
2005-10-05,18200.000000,18700.000000,17900.000000,18450.000000,18136.708984,4891
2005-10-06,18650.000000,19800.000000,18000.000000,19550.000000,19218.029297,23755
2005-10-07,19100.000000,20350.000000,18800.000000,19150.000000,18824.822266,13859
2005-10-10,19850.000000,20100.000000,19400.000000,19700.000000,19365.482422,6947
2005-10-11,19700.000000,19850.000000,16900.000000,19350.000000,19021.425781,3971
2005-10-12,19400.000000,19700.000000,18700.000000,18850.000000,18529.916016,6780
2005-10-13,18850.000000,18950.000000,18350.000000,18950.000000,18628.218750,2910
2005-10-14,18400.000000,19150.000000,18200.000000,18300.000000,17989.255859,3087
2005-10-17,null,null,null,null,null,null
2005-10-18,18450.000000,18450.000000,18050.000000,18300.000000,17989.255859,3193
2005-10-19,18300.000000,18300.000000,17600.000000,18200.000000,17890.953125,2697
2005-10-20,17900.000000,18200.000000,17700.000000,17800.000000,17497.746094,1848
2005-10-21,17900.000000,18700.000000,17600.000000,18350.000000,18038.406250,2117
2005-10-24,18800.000000,18800.000000,18400.000000,18700.000000,18382.462891,2503
2005-10-25,18900.000000,18900.000000,18300.000000,18300.000000,17989.255859,676
2005-10-26,19000.000000,19000.000000,18000.000000,18400.000000,18087.556641,984
2005-10-27,18300.000000,18350.000000,17700.000000,18300.000000,17989.255859,1631
2005-10-28,18000.000000,18100.000000,17500.000000,17750.000000,17448.593750,1375
2005-10-31,18400.000000,18400.000000,17550.000000,17900.000000,17596.048828,1019
2005-11-01,17600.000000,18100.000000,17600.000000,18100.000000,17792.650391,1148
2005-11-02,17850.000000,18200.000000,17850.000000,18150.000000,17841.802734,917
2005-11-03,17950.000000,18250.000000,17750.000000,18000.000000,17694.349609,1255
2005-11-04,18350.000000,18450.000000,18050.000000,18100.000000,17792.650391,1281
2005-11-07,18150.000000,18500.000000,18050.000000,18350.000000,18038.406250,2000
2005-11-08,18400.000000,19000.000000,18350.000000,18750.000000,18431.613281,5130
2005-11-09,18350.000000,19750.000000,18350.000000,19100.000000,18775.671875,14163
2005-11-10,19450.000000,20350.000000,19450.000000,20250.000000,19906.142578,14051
2005-11-11,20500.000000,21000.000000,20000.000000,20650.000000,20299.351563,7976
2005-11-14,20350.000000,21500.000000,20200.000000,21000.000000,20643.408203,8840
2005-11-15,20800.000000,21000.000000,20000.000000,20800.000000,20446.804688,9517
2005-11-16,20200.000000,20650.000000,20000.000000,20000.000000,19660.388672,9268
2005-11-17,21100.000000,22700.000000,21000.000000,21000.000000,20643.408203,20159
2005-11-18,21200.000000,24150.000000,21200.000000,24150.000000,23739.919922,50525
2005-11-21,25000.000000,27750.000000,24500.000000,27750.000000,27278.789063,33176
2005-11-22,28300.000000,29400.000000,26400.000000,28400.000000,27917.751953,35672
2005-11-23,29700.000000,30200.000000,27000.000000,29900.000000,29392.281250,19720
2005-11-24,30000.000000,33200.000000,28000.000000,28500.000000,28016.052734,24442
2005-11-25,28400.000000,30500.000000,28400.000000,28500.000000,28016.052734,28829
2005-11-28,28450.000000,29900.000000,27400.000000,27500.000000,27033.033203,8290
2005-11-29,27000.000000,27900.000000,26000.000000,26900.000000,26443.222656,12738
2005-11-30,26800.000000,28000.000000,26800.000000,27550.000000,27082.183594,5977
2005-12-01,27600.000000,28600.000000,27200.000000,28000.000000,27524.544922,7009
2005-12-02,28400.000000,30500.000000,28000.000000,28500.000000,28016.052734,16359
2005-12-05,28100.000000,29950.000000,28100.000000,28500.000000,28016.052734,5253
2005-12-06,28300.000000,29500.000000,28000.000000,28000.000000,27524.544922,6314
2005-12-07,27850.000000,28800.000000,26000.000000,26150.000000,25705.957031,5448
2005-12-08,27500.000000,28000.000000,26500.000000,26900.000000,26443.222656,3038
2005-12-09,26250.000000,27900.000000,26200.000000,26300.000000,25853.412109,3599
2005-12-12,26100.000000,27850.000000,25300.000000,25400.000000,24968.693359,5780
2005-12-13,25400.000000,25700.000000,24000.000000,25100.000000,24673.787109,15449
2005-12-14,25100.000000,25200.000000,24200.000000,24850.000000,24428.033203,2515
2005-12-15,24600.000000,25400.000000,24000.000000,25400.000000,24968.693359,8824
2005-12-16,24800.000000,25200.000000,24000.000000,24950.000000,24526.333984,3047
2005-12-19,24100.000000,25150.000000,24100.000000,24900.000000,24477.183594,8105
2005-12-20,25000.000000,25000.000000,23050.000000,23850.000000,23445.013672,1985
2005-12-21,23450.000000,25100.000000,23200.000000,25100.000000,24673.787109,7741
2005-12-22,null,null,null,null,null,null
2005-12-23,24450.000000,24450.000000,22900.000000,23300.000000,22904.351563,1831
2005-12-26,null,null,null,null,null,null
2005-12-27,22750.000000,24100.000000,22750.000000,22950.000000,22560.294922,2225
2005-12-28,23600.000000,25000.000000,23250.000000,25000.000000,24575.486328,5048
2005-12-29,25650.000000,25650.000000,24700.000000,25200.000000,24772.089844,2461
2006-01-02,25700.000000,25900.000000,24900.000000,25700.000000,25263.599609,3606
2006-01-03,25700.000000,26350.000000,25200.000000,25700.000000,25263.599609,4821
2006-01-04,26500.000000,26500.000000,25400.000000,26000.000000,25558.505859,3276
2006-01-05,25500.000000,26500.000000,24900.000000,25750.000000,25312.750000,4204
2006-01-06,24950.000000,25650.000000,24050.000000,25000.000000,24575.486328,4841
2006-01-09,24600.000000,25550.000000,23750.000000,24550.000000,24133.126953,2230
2006-01-10,24650.000000,24650.000000,23400.000000,24150.000000,23739.919922,1269
2006-01-11,24450.000000,24450.000000,23400.000000,23750.000000,23346.712891,1508
2006-01-12,23750.000000,25400.000000,23700.000000,25000.000000,24575.486328,3864
2006-01-13,25000.000000,25300.000000,24650.000000,24800.000000,24378.882813,992
2006-01-16,24300.000000,28000.000000,24200.000000,27000.000000,26541.525391,13050
2006-01-17,29000.000000,29000.000000,25550.000000,26500.000000,26050.013672,10248
2006-01-18,25700.000000,27500.000000,24000.000000,26200.000000,25755.109375,7890
2006-01-19,25250.000000,28750.000000,25250.000000,28000.000000,27524.544922,17580
2006-01-20,28000.000000,28400.000000,25300.000000,25300.000000,24870.390625,6910
2006-01-23,24650.000000,25100.000000,21550.000000,21950.000000,21577.275391,12279
2006-01-24,22000.000000,22850.000000,21000.000000,22450.000000,22068.787109,4441
2006-01-25,23000.000000,23850.000000,22300.000000,22450.000000,22068.787109,3175
2006-01-26,22450.000000,23050.000000,22000.000000,22850.000000,22461.994141,2494
2006-01-27,23000.000000,23750.000000,22600.000000,23000.000000,22609.445313,2221
2006-01-31,23000.000000,23450.000000,22700.000000,23000.000000,22609.445313,1106
2006-02-01,23000.000000,23000.000000,21750.000000,21750.000000,21380.673828,2674
2006-02-02,21750.000000,22850.000000,21750.000000,22400.000000,22019.636719,785
2006-02-03,22000.000000,22400.000000,20300.000000,21000.000000,20643.408203,2352
2006-02-06,20350.000000,21150.000000,20050.000000,21000.000000,20643.408203,815
2006-02-07,20300.000000,21300.000000,20300.000000,21000.000000,20643.408203,1072
2006-02-08,21000.000000,21450.000000,20500.000000,20900.000000,20545.105469,1820
2006-02-09,21000.000000,21350.000000,20500.000000,20900.000000,20545.105469,1041
2006-02-10,20900.000000,21350.000000,20600.000000,20650.000000,20299.351563,1051
2006-02-13,20550.000000,21200.000000,20200.000000,20500.000000,20151.898438,2574
2006-02-14,20150.000000,20800.000000,20100.000000,20800.000000,20446.804688,1101
2006-02-15,20500.000000,21000.000000,19400.000000,19800.000000,19463.785156,2638
2006-02-16,19950.000000,20450.000000,19600.000000,20300.000000,19955.294922,2681
2006-02-17,20300.000000,20400.000000,20000.000000,20300.000000,19955.294922,1384
2006-02-20,19700.000000,20350.000000,18850.000000,19950.000000,19611.238281,6903
2006-02-21,19900.000000,20250.000000,19750.000000,19750.000000,19414.632813,650
2006-02-22,19750.000000,20150.000000,18900.000000,19200.000000,18873.972656,4150
2006-02-23,19200.000000,19950.000000,19200.000000,19550.000000,19218.029297,2590
2006-02-24,19400.000000,20100.000000,19400.000000,19750.000000,19414.632813,4796
2006-02-27,19800.000000,20700.000000,19800.000000,20350.000000,20004.445313,2896
2006-02-28,20350.000000,21700.000000,20000.000000,21400.000000,21036.617188,4374
2006-03-02,21100.000000,22900.000000,21100.000000,21650.000000,21282.369141,4495
2006-03-03,22050.000000,22050.000000,20000.000000,20450.000000,20102.748047,2054
2006-03-06,20400.000000,21000.000000,20000.000000,20050.000000,19709.539063,2734
2006-03-07,20000.000000,20200.000000,20000.000000,20150.000000,19807.841797,5043
2006-03-08,20300.000000,21800.000000,20050.000000,21800.000000,21429.824219,1849
2006-03-09,22500.000000,22700.000000,22000.000000,22150.000000,21773.880859,1196
2006-03-10,22150.000000,22300.000000,21200.000000,22300.000000,21921.332031,950
2006-03-13,22000.000000,23100.000000,21250.000000,22900.000000,22511.144531,2164
2006-03-14,23000.000000,23350.000000,22400.000000,23350.000000,22953.503906,2083
2006-03-15,23050.000000,23050.000000,22200.000000,22950.000000,22560.294922,2911
2006-03-16,22400.000000,23000.000000,21900.000000,22800.000000,22412.843750,2576
2006-03-17,22500.000000,23000.000000,22200.000000,22950.000000,22560.294922,518
2006-03-20,22300.000000,23600.000000,22300.000000,23450.000000,23051.806641,4436
2006-03-21,23500.000000,23950.000000,23300.000000,23900.000000,23494.164063,2253
2006-03-22,23400.000000,23900.000000,21850.000000,21850.000000,21478.974609,1033
2006-03-23,22150.000000,23200.000000,22050.000000,22400.000000,22019.636719,1645
2006-03-24,22050.000000,23500.000000,22050.000000,23500.000000,23100.957031,4366
2006-03-27,23450.000000,23800.000000,23000.000000,23800.000000,23395.863281,2271
2006-03-28,24000.000000,24050.000000,23100.000000,23900.000000,23494.164063,3336
2006-03-29,22950.000000,24400.000000,22950.000000,23350.000000,22953.503906,5609
2006-03-30,23350.000000,24050.000000,23100.000000,24050.000000,23641.617188,7193
2006-03-31,24950.000000,24950.000000,23550.000000,24050.000000,23641.617188,1274
2006-04-03,24500.000000,25050.000000,24050.000000,24050.000000,23641.617188,3635
2006-04-04,24150.000000,24150.000000,23700.000000,23700.000000,23297.560547,959
2006-04-05,24150.000000,24150.000000,23700.000000,23700.000000,23297.560547,959
2006-04-06,25300.000000,25300.000000,24000.000000,24850.000000,24428.033203,2839
2006-04-07,25300.000000,25800.000000,24650.000000,25600.000000,25165.296875,10818
2006-04-10,26100.000000,26100.000000,24800.000000,25550.000000,25116.146484,2729
2006-04-11,25800.000000,26400.000000,25500.000000,26100.000000,25656.806641,7159
2006-04-12,26100.000000,26600.000000,25900.000000,26000.000000,25558.505859,4685
2006-04-13,26350.000000,27100.000000,26000.000000,26550.000000,26099.166016,10672
2006-04-14,27100.000000,28900.000000,27100.000000,27600.000000,27131.337891,14334
2006-04-17,29000.000000,30500.000000,29000.000000,30000.000000,29490.583984,12569
2006-04-18,30000.000000,30000.000000,28850.000000,28850.000000,28360.109375,5844
2006-04-19,28900.000000,30100.000000,28900.000000,30000.000000,29490.583984,10925
2006-04-20,29500.000000,30000.000000,27250.000000,28650.000000,28163.507813,8401
2006-04-21,29000.000000,30000.000000,28550.000000,28800.000000,28310.958984,5494
2006-04-24,28600.000000,29750.000000,28600.000000,28800.000000,28310.958984,1914
2006-04-25,29300.000000,29350.000000,24550.000000,28800.000000,28310.958984,2379
2006-04-26,28050.000000,29900.000000,28050.000000,29800.000000,29293.978516,8270
2006-04-27,30000.000000,30300.000000,28900.000000,29850.000000,29343.128906,4354
2006-04-28,29150.000000,29950.000000,27100.000000,28800.000000,28310.958984,7063
2006-05-02,28100.000000,28800.000000,27700.000000,28450.000000,27966.902344,3233
2006-05-03,27850.000000,30000.000000,27850.000000,28900.000000,28409.261719,6114
2006-05-04,28400.000000,29800.000000,28300.000000,29450.000000,28949.921875,2483
2006-05-08,28400.000000,30350.000000,28300.000000,29000.000000,28507.564453,3725
2006-05-09,29000.000000,29100.000000,27900.000000,27900.000000,27426.240234,4442
2006-05-10,28100.000000,28100.000000,27500.000000,28000.000000,27524.544922,5622
2006-05-11,28000.000000,28000.000000,27000.000000,28000.000000,27524.544922,1880
2006-05-12,27300.000000,27800.000000,26700.000000,27550.000000,27082.183594,1488
2006-05-15,26500.000000,26550.000000,26000.000000,26000.000000,25558.505859,1981
2006-05-16,26200.000000,26500.000000,24100.000000,24450.000000,24034.826172,5310
2006-05-17,24100.000000,25000.000000,23150.000000,25000.000000,24575.486328,2263
2006-05-18,null,null,null,null,null,null
2006-05-19,null,null,null,null,null,null
2006-05-22,22300.000000,24600.000000,22000.000000,24150.000000,23739.919922,3294
2006-05-23,23500.000000,24250.000000,22000.000000,23800.000000,23395.863281,895
2006-05-24,24050.000000,24500.000000,22950.000000,24200.000000,23789.070313,419
2006-05-25,23100.000000,24600.000000,21800.000000,24050.000000,23641.617188,3098
2006-05-26,23100.000000,24000.000000,23100.000000,23950.000000,23543.314453,1377
2006-05-29,null,null,null,null,null,null
2006-05-30,24600.000000,24600.000000,22800.000000,24000.000000,23592.466797,1385
